Date,Wind speed m/s
6/15/2024 17:13:00,4.8
6/15/2024 17:13:00,2.4
6/15/2024 17:13:01,4.8
6/15/2024 17:13:01,2.4
6/15/2024 17:13:02,4.8
6/15/2024 17:13:02,2.4
6/15/2024 17:13:03,2.4
6/15/2024 17:13:03,4.8
6/15/2024 17:13:04,2.4
6/15/2024 17:13:04,4.8
6/15/2024 17:13:05,2.4
6/15/2024 17:13:05,2.4
6/15/2024 17:13:06,2.4
6/15/2024 17:13:06,1.2
6/15/2024 17:13:07,2.4
6/15/2024 17:13:07,1.2
6/15/2024 17:13:08,3.6
6/15/2024 17:13:08,0
6/15/2024 17:13:09,4.8
6/15/2024 17:13:09,2.4
6/15/2024 17:13:10,2.4
6/15/2024 17:13:10,2.4
6/15/2024 17:13:11,1.2
6/15/2024 17:13:11,1.2
6/15/2024 17:13:12,2.4
6/15/2024 17:13:12,0
6/15/2024 17:13:13,2.4
6/15/2024 17:13:13,4.8
6/15/2024 17:13:14,2.4
6/15/2024 17:13:14,2.4
6/15/2024 17:13:15,2.4
6/15/2024 17:13:15,2.4
6/15/2024 17:13:16,1.2
6/15/2024 17:13:16,1.2
6/15/2024 17:13:17,2.4
6/15/2024 17:13:17,2.4
6/15/2024 17:13:18,2.4
6/15/2024 17:13:18,3.6
6/15/2024 17:13:19,2.4
6/15/2024 17:13:19,1.2
6/15/2024 17:13:20,3.6
6/15/2024 17:13:20,2.4
6/15/2024 17:13:21,3.6
6/15/2024 17:13:21,2.4
6/15/2024 17:13:22,4.8
6/15/2024 17:13:22,2.4
6/15/2024 17:13:23,3.6
6/15/2024 17:13:23,2.4
6/15/2024 17:13:24,2.4
6/15/2024 17:13:24,4.8
6/15/2024 17:13:25,2.4
6/15/2024 17:13:25,4.8
6/15/2024 17:13:26,2.4
6/15/2024 17:13:26,4.8
6/15/2024 17:13:27,1.2
6/15/2024 17:13:27,2.4
6/15/2024 17:13:28,4.8
6/15/2024 17:13:28,2.4
6/15/2024 17:13:29,2.4
6/15/2024 17:13:29,2.4
6/15/2024 17:13:30,2.4
6/15/2024 17:13:30,1.2
6/15/2024 17:13:31,2.4
6/15/2024 17:13:31,2.4
6/15/2024 17:13:32,0
6/15/2024 17:13:32,2.4
6/15/2024 17:13:33,2.4
6/15/2024 17:13:33,0
6/15/2024 17:13:34,2.4
6/15/2024 17:13:34,2.4
6/15/2024 17:13:35,2.4
6/15/2024 17:13:35,2.4
6/15/2024 17:13:36,2.4
6/15/2024 17:13:36,2.4
6/15/2024 17:13:37,2.4
6/15/2024 17:13:37,1.2
6/15/2024 17:13:38,2.4
6/15/2024 17:13:38,2.4
6/15/2024 17:13:39,2.4
6/15/2024 17:13:39,1.2
6/15/2024 17:13:40,2.4
6/15/2024 17:13:40,2.4
6/15/2024 17:13:41,2.4
6/15/2024 17:13:42,0
6/15/2024 17:13:42,2.4
6/15/2024 17:13:43,2.4
6/15/2024 17:13:43,2.4
6/15/2024 17:13:44,2.4
6/15/2024 17:13:44,0
6/15/2024 17:13:45,2.4
6/15/2024 17:13:45,2.4
6/15/2024 17:13:46,1.2
6/15/2024 17:13:46,2.4
6/15/2024 17:13:47,1.2
6/15/2024 17:13:47,4.8
6/15/2024 17:13:48,2.4
6/15/2024 17:13:48,4.8
6/15/2024 17:13:49,4.8
6/15/2024 17:13:49,4.8
6/15/2024 17:13:50,2.4
6/15/2024 17:13:50,3.6
6/15/2024 17:13:51,4.8
6/15/2024 17:13:51,4.8
6/15/2024 17:13:52,4.8
6/15/2024 17:13:52,4.8
6/15/2024 17:13:53,4.8
6/15/2024 17:13:53,4.8
6/15/2024 17:13:54,4.8
6/15/2024 17:13:54,3.6
6/15/2024 17:13:55,4.8
6/15/2024 17:13:55,4.8
6/15/2024 17:13:56,4.8
6/15/2024 17:13:56,4.8
6/15/2024 17:13:57,7.2
6/15/2024 17:13:57,4.8
6/15/2024 17:13:58,4.8
6/15/2024 17:13:58,3.6
6/15/2024 17:13:59,4.8
6/15/2024 17:13:59,4.8
6/15/2024 17:14:00,4.8
6/15/2024 17:14:00,7.2
6/15/2024 17:14:01,3.6
6/15/2024 17:14:01,4.8
6/15/2024 17:14:02,3.6
6/15/2024 17:14:02,4.8
6/15/2024 17:14:03,4.8
6/15/2024 17:14:03,2.4
6/15/2024 17:14:04,3.6
6/15/2024 17:14:04,4.8
6/15/2024 17:14:05,4.8
6/15/2024 17:14:05,2.4
6/15/2024 17:14:06,4.8
6/15/2024 17:14:06,4.8
6/15/2024 17:14:07,4.8
6/15/2024 17:14:07,2.4
6/15/2024 17:14:08,3.6
6/15/2024 17:14:08,4.8
6/15/2024 17:14:09,4.8
6/15/2024 17:14:09,4.8
6/15/2024 17:14:10,4.8
6/15/2024 17:14:10,4.8
6/15/2024 17:14:11,4.8
6/15/2024 17:14:11,4.8
6/15/2024 17:14:12,4.8
6/15/2024 17:14:12,7.2
6/15/2024 17:14:13,4.8
6/15/2024 17:14:13,4.8
6/15/2024 17:14:14,4.8
6/15/2024 17:14:14,4.8
6/15/2024 17:14:15,3.6
6/15/2024 17:14:15,4.8
6/15/2024 17:14:16,4.8
6/15/2024 17:14:16,4.8
6/15/2024 17:14:17,4.8
6/15/2024 17:14:17,4.8
6/15/2024 17:14:18,4.8
6/15/2024 17:14:18,3.6
6/15/2024 17:14:19,6
6/15/2024 17:14:19,3.6
6/15/2024 17:14:20,3.6
6/15/2024 17:14:20,3.6
6/15/2024 17:14:21,3.6
6/15/2024 17:14:21,4.8
6/15/2024 17:14:22,3.6
6/15/2024 17:14:22,4.8
6/15/2024 17:14:23,4.8
6/15/2024 17:14:23,4.8
6/15/2024 17:14:24,4.8
6/15/2024 17:14:24,4.8
6/15/2024 17:14:25,4.8
6/15/2024 17:14:25,3.6
6/15/2024 17:14:26,4.8
6/15/2024 17:14:26,3.6
6/15/2024 17:14:27,4.8
6/15/2024 17:14:27,6
6/15/2024 17:14:28,4.8
6/15/2024 17:14:28,4.8
6/15/2024 17:14:29,3.6
6/15/2024 17:14:29,7.2
6/15/2024 17:14:30,4.8
6/15/2024 17:14:30,4.8
6/15/2024 17:14:31,4.8
6/15/2024 17:14:31,4.8
6/15/2024 17:14:32,3.6
6/15/2024 17:14:32,1.2
6/15/2024 17:14:33,4.8
6/15/2024 17:14:33,3.6
6/15/2024 17:14:34,3.6
6/15/2024 17:14:34,2.4
6/15/2024 17:14:35,4.8
6/15/2024 17:14:35,4.8
6/15/2024 17:14:36,4.8
6/15/2024 17:14:36,1.2
6/15/2024 17:14:37,4.8
6/15/2024 17:14:37,2.4
6/15/2024 17:14:38,4.8
6/15/2024 17:14:38,2.4
6/15/2024 17:14:39,4.8
6/15/2024 17:14:39,2.4
6/15/2024 17:14:40,4.8
6/15/2024 17:14:40,2.4
6/15/2024 17:14:41,2.4
6/15/2024 17:14:41,4.8
6/15/2024 17:14:42,2.4
6/15/2024 17:14:42,2.4
6/15/2024 17:14:43,2.4
6/15/2024 17:14:43,2.4
6/15/2024 17:14:44,2.4
6/15/2024 17:14:44,1.2
6/15/2024 17:14:45,2.4
6/15/2024 17:14:45,2.4
6/15/2024 17:14:46,0
6/15/2024 17:14:46,1.2
6/15/2024 17:14:47,2.4
6/15/2024 17:14:47,1.2
6/15/2024 17:14:48,2.4
6/15/2024 17:14:48,0
6/15/2024 17:14:49,2.4
6/15/2024 17:14:49,0
6/15/2024 17:14:50,2.4
6/15/2024 17:14:50,2.4
6/15/2024 17:14:51,0
6/15/2024 17:14:51,0
6/15/2024 17:14:52,2.4
6/15/2024 17:14:52,0
6/15/2024 17:14:53,2.4
6/15/2024 17:14:53,0
6/15/2024 17:14:54,2.4
6/15/2024 17:14:54,0
6/15/2024 17:14:55,0
6/15/2024 17:14:55,2.4
6/15/2024 17:14:56,0
6/15/2024 17:14:56,0
6/15/2024 17:14:57,2.4
6/15/2024 17:14:57,0
6/15/2024 17:14:58,0
6/15/2024 17:14:58,1.2
6/15/2024 17:14:59,0
6/15/2024 17:14:59,2.4
6/15/2024 17:15:00,0
6/15/2024 17:15:00,1.2
6/15/2024 17:15:01,2.4
6/15/2024 17:15:01,1.2
6/15/2024 17:15:02,0
6/15/2024 17:15:02,2.4
6/15/2024 17:15:03,0
6/15/2024 17:15:03,1.2
6/15/2024 17:15:04,2.4
6/15/2024 17:15:04,0
6/15/2024 17:15:05,2.4
6/15/2024 17:15:05,0
6/15/2024 17:15:06,2.4
6/15/2024 17:15:06,0
6/15/2024 17:15:07,2.4
6/15/2024 17:15:07,0
6/15/2024 17:15:08,0
6/15/2024 17:15:08,2.4
6/15/2024 17:15:09,0
6/15/2024 17:15:09,0
6/15/2024 17:15:10,2.4
6/15/2024 17:15:10,0
6/15/2024 17:15:11,0
6/15/2024 17:15:11,0
6/15/2024 17:15:12,2.4
6/15/2024 17:15:12,0
6/15/2024 17:15:13,0
6/15/2024 17:15:13,2.4
6/15/2024 17:15:14,0
6/15/2024 17:15:14,2.4
6/15/2024 17:15:15,0
6/15/2024 17:15:15,2.4
6/15/2024 17:15:16,0
6/15/2024 17:15:16,2.4
6/15/2024 17:15:17,0
6/15/2024 17:15:17,2.4
