Timestamp,Wind speed m/s
17:14:14,2.7
17:14:18,3
17:14:22,2.1
17:14:26,2.6
17:14:30,2.9
17:14:34,2.9
17:14:38,3
17:14:42,2.7
17:14:46,3.6
17:14:50,2.9
17:14:54,2.5
17:14:58,2.4
17:15:02,1.3
17:15:06,1
17:15:10,0.6
17:15:14,0.9
17:15:18,1.5
17:15:22,1
17:15:26,0.6
17:15:30,0.9
17:15:34,0.7
17:15:38,0.4
17:15:42,0.4
17:15:46,1.6
17:15:50,2
17:15:54,2
17:15:58,2
17:16:02,2
17:16:06,1.8
17:16:10,1.8
17:16:14,2.7
17:16:18,2.1
17:16:22,3.1
17:16:26,3.7
17:16:30,2.5
17:16:34,3
17:16:38,2.3
17:16:42,2.1
17:16:46,1.9
17:16:50,1.4
17:16:54,1.9
17:16:58,1.9
17:17:02,1.3
17:17:06,2.8
17:17:10,3.5
17:17:14,2.6
17:17:18,2.6
17:17:22,2.1
17:17:26,2.3
17:17:30,1.9
17:17:34,2.3
17:17:38,2
17:17:42,2
17:17:46,2.5
17:17:50,3.6
17:17:54,3.1
17:17:58,2.6
17:18:02,3.3
17:18:06,2.6
17:18:10,3.1
17:18:14,2.8
17:18:18,3
17:18:22,2.9
17:18:26,2.9
17:18:30,2.7
17:18:34,3.1
17:18:38,2.9
17:18:42,4.2
17:18:46,2.9
17:18:50,2.2
17:18:54,1.5
17:18:58,1.6
17:19:02,1.8
17:19:06,3.4
17:19:10,2.5
17:19:14,3.1
17:19:18,2.5
17:19:22,2.3
17:19:26,2.5
17:19:30,1.9
17:19:34,1.6
17:19:38,1.7
17:19:42,1.7
17:19:46,2.1
17:19:50,1.8
17:19:54,2.2
17:19:58,4.2
17:20:02,4
17:20:06,2
17:20:10,1.2
17:20:14,1.3
17:20:18,1.4
17:20:22,1.7
17:20:26,2.2
17:20:30,2.2
17:20:34,1.9
17:20:38,1.7
17:20:42,1.6
17:20:46,1.5
17:20:50,1.6
17:20:54,1.6
17:20:58,2.2
17:21:02,2.4
17:21:06,2.1
17:21:10,1.8
17:21:14,1.9
17:21:18,2.3
17:21:22,3.5
17:21:26,3.5
17:21:30,2.3
