Date,Wind Velocity m/s,"Adjusted Wind speed (At zero wind speed, there is  7m/s average absolute shiift in wind speed. So subtract the 7 m/s in the data. 
Since, the time of flight is measured in microseconds, we used SI units to convert that data to wind velocity(m/s).   "
6/15/2024 17:13:12,9.4,2.4
6/15/2024 17:13:16,7.22,0.22
6/15/2024 17:13:20,11.41,4.41
6/15/2024 17:13:25,10.23,3.23
6/15/2024 17:13:29,11.04,4.04
6/15/2024 17:13:33,15.24,8.24
6/15/2024 17:13:37,9.95,2.95
6/15/2024 17:13:42,7.19,0.19
6/15/2024 17:13:46,10.42,3.42
6/15/2024 17:13:50,10.54,3.54
6/15/2024 17:13:55,10.36,3.36
6/15/2024 17:13:59,11.57,4.57
6/15/2024 17:14:03,7.69,0.69
6/15/2024 17:14:08,10.23,3.23
6/15/2024 17:14:12,10.54,3.54
6/15/2024 17:14:16,12.98,5.98
6/15/2024 17:14:20,9.88,2.88
6/15/2024 17:14:25,10.36,3.36
6/15/2024 17:14:29,10,3
6/15/2024 17:14:33,13.23,6.23
6/15/2024 17:14:38,12.85,5.85
6/15/2024 17:14:42,7.04,0.04
6/15/2024 17:14:46,7.77,0.77
6/15/2024 17:14:51,7.2,0.2
6/15/2024 17:14:55,9.94,2.94
6/15/2024 17:14:59,7.76,0.76
6/15/2024 17:15:03,10.2,3.2
6/15/2024 17:15:08,7.79,0.79
6/15/2024 17:15:12,10.19,3.19
6/15/2024 17:15:16,10.43,3.43
6/15/2024 17:15:21,10.35,3.35
6/15/2024 17:15:25,10.82,3.82
6/15/2024 17:15:29,10.79,3.79
6/15/2024 17:15:34,13.82,6.82
6/15/2024 17:15:38,12.8,5.8
6/15/2024 17:15:42,10.78,3.78
6/15/2024 17:15:46,10.56,3.56
6/15/2024 17:15:51,10.49,3.49
6/15/2024 17:15:55,13.4,6.4
6/15/2024 17:15:59,10.6,3.6
6/15/2024 17:16:04,10.81,3.81
6/15/2024 17:16:08,9.76,2.76
6/15/2024 17:16:12,10.11,3.11
6/15/2024 17:16:17,9.99,2.99
6/15/2024 17:16:21,10.31,3.31
6/15/2024 17:16:25,11.67,4.67
6/15/2024 17:16:29,10.35,3.35
6/15/2024 17:16:34,10.4,3.4
6/15/2024 17:16:38,13.29,6.29
6/15/2024 17:16:42,10.23,3.23
6/15/2024 17:16:47,8.4,1.4
6/15/2024 17:16:51,10.69,3.69
6/15/2024 17:16:55,10.34,3.34
6/15/2024 17:17:00,10.08,3.08
6/15/2024 17:17:04,11.72,4.72
6/15/2024 17:17:08,10.64,3.64
6/15/2024 17:17:12,10.73,3.73
6/15/2024 17:17:17,15.6,8.6
6/15/2024 17:17:21,10.32,3.32
6/15/2024 17:17:25,10.29,3.29
6/15/2024 17:17:30,11.49,4.49
6/15/2024 17:17:34,12.98,5.98
6/15/2024 17:17:38,12.92,5.92
6/15/2024 17:17:43,10.22,3.22
6/15/2024 17:17:47,15.43,8.43
6/15/2024 17:17:51,12.28,5.28
6/15/2024 17:17:55,11.77,4.77
6/15/2024 17:18:00,11.01,4.01
6/15/2024 17:18:04,10.22,3.22
6/15/2024 17:18:08,11.48,4.48
6/15/2024 17:18:13,10.38,3.38
6/15/2024 17:18:17,6.81,-0.19
6/15/2024 17:18:21,11.46,4.46
6/15/2024 17:18:26,10.33,3.33
6/15/2024 17:18:30,10.45,3.45
6/15/2024 17:18:34,10.9,3.9
6/15/2024 17:18:38,10.56,3.56
6/15/2024 17:18:43,10.41,3.41
6/15/2024 17:18:47,10.09,3.09
6/15/2024 17:18:51,10.12,3.12
6/15/2024 17:18:56,6.83,-0.17
6/15/2024 17:19:00,12.71,5.71
6/15/2024 17:19:04,10.94,3.94
6/15/2024 17:19:09,10.5,3.5
6/15/2024 17:19:13,15.14,8.14
6/15/2024 17:19:17,10.57,3.57
6/15/2024 17:19:21,12.96,5.96
6/15/2024 17:19:26,7.37,0.37
6/15/2024 17:19:30,7.49,0.49
6/15/2024 17:19:34,9.99,2.99
6/15/2024 17:19:39,10.12,3.12
6/15/2024 17:19:43,10.76,3.76
6/15/2024 17:19:47,10.1,3.1
6/15/2024 17:19:52,10.23,3.23
6/15/2024 17:19:56,8.18,1.18
6/15/2024 17:20:00,10.24,3.24
6/15/2024 17:20:04,10.66,3.66
6/15/2024 17:20:09,9.6,2.6
6/15/2024 17:20:13,6.7,-0.3
6/15/2024 17:20:17,9.95,2.95
6/15/2024 17:20:22,10.24,3.24
6/15/2024 17:20:26,6.85,-0.15
6/15/2024 17:20:30,6.93,-0.07
6/15/2024 17:20:35,10.09,3.09
6/15/2024 17:20:39,9,2
6/15/2024 17:20:43,10.57,3.57
6/15/2024 17:20:47,7.09,0.09
6/15/2024 17:20:52,10.56,3.56
6/15/2024 17:20:56,14.3,7.3
6/15/2024 17:21:00,10.58,3.58
6/15/2024 17:21:05,7.68,0.68
6/15/2024 17:21:09,10.4,3.4
6/15/2024 17:21:13,10.32,3.32
6/15/2024 17:21:18,10.44,3.44
6/15/2024 17:21:22,10.73,3.73
6/15/2024 17:21:26,10.54,3.54
6/15/2024 17:21:30,11.37,4.37
6/15/2024 17:21:35,10.36,3.36
6/15/2024 17:21:39,13.38,6.38
6/15/2024 17:21:43,12.79,5.79
6/15/2024 17:21:48,10.54,3.54
6/15/2024 17:21:52,10.22,3.22
6/15/2024 17:21:56,12.82,5.82
6/15/2024 17:22:01,10.84,3.84
6/15/2024 17:22:05,10.68,3.68
6/15/2024 17:22:09,10.33,3.33
6/15/2024 17:22:13,12.73,5.73
6/15/2024 17:22:18,13.23,6.23
6/15/2024 17:22:22,10.81,3.81
6/15/2024 17:22:26,12.56,5.56
6/15/2024 17:22:31,10.33,3.33
6/15/2024 17:22:35,10.8,3.8
6/15/2024 17:22:39,7.32,0.32
6/15/2024 17:22:44,10.09,3.09
6/15/2024 17:22:48,10.41,3.41
6/15/2024 17:22:52,10.12,3.12
6/15/2024 17:22:56,11.67,4.67
6/15/2024 17:23:01,12.92,5.92
6/15/2024 17:23:05,10.41,3.41
6/15/2024 17:23:09,10.42,3.42
6/15/2024 17:23:14,11.02,4.02
6/15/2024 17:23:18,12.48,5.48
6/15/2024 17:23:22,10.43,3.43
6/15/2024 17:23:27,10.46,3.46
6/15/2024 17:23:31,10.41,3.41
6/15/2024 17:23:35,12.39,5.39
6/15/2024 17:23:39,10.42,3.42
6/15/2024 17:23:44,7.55,0.55
6/15/2024 17:23:48,10.51,3.51
6/15/2024 17:23:52,10.07,3.07
6/15/2024 17:23:57,11.04,4.04
6/15/2024 17:24:01,9.98,2.98
6/15/2024 17:24:05,10.21,3.21
6/15/2024 17:24:10,7.37,0.37
6/15/2024 17:24:14,9,2
6/15/2024 17:24:18,10.32,3.32
6/15/2024 17:24:22,11.46,4.46
6/15/2024 17:24:27,10.54,3.54
6/15/2024 17:24:31,8.6,1.6
6/15/2024 17:24:35,12.82,5.82
6/15/2024 17:24:40,10.51,3.51
6/15/2024 17:24:44,7.19,0.19
6/15/2024 17:24:48,10.21,3.21
6/15/2024 17:24:53,10.31,3.31
6/15/2024 17:24:57,7.72,0.72
6/15/2024 17:25:01,10.79,3.79
6/15/2024 17:25:05,10.01,3.01
6/15/2024 17:25:10,9.78,2.78
6/15/2024 17:25:14,10.72,3.72
6/15/2024 17:25:18,10.17,3.17
6/15/2024 17:25:23,12.93,5.93
