duration1,duration2,temperature,humidity,speedlevel
567,590,27.3,59,12.2
567,561,27.3,59,12.2
591,557,27.3,58.8,12.2
573,563,27.3,58.8,12.2
573,566,27.3,58.7,12.2
567,564,27.3,58.7,12.2
591,591,27.3,59.1,12.2
567,563,27.3,59.1,12.2
568,585,27.4,58.9,12.2
574,560,27.4,58.9,12.2
574,584,27.3,58.6,12.2
574,585,27.3,58.6,12.2
597,567,27.4,58.8,12.2
594,591,27.4,58.8,12.2
591,591,27.4,58.7,12.2
567,560,27.4,58.7,12.2
568,557,27.4,58.8,12.2
573,566,27.4,58.8,12.2
574,566,27.4,58.7,12.2
567,566,27.4,58.7,12.2
568,560,27.4,58.7,12.2
567,558,27.4,58.7,12.2
574,584,27.3,58.7,12.2
573,584,27.3,58.7,12.2
574,561,27.3,58.7,12.2
573,561,27.3,58.7,12.2
573,560,27.3,58.6,12.2
573,567,27.3,58.6,12.2
568,591,27.4,58.9,12.2
567,566,27.4,58.9,12.2
567,567,27.4,58.7,12.2
567,584,27.4,58.7,12.2
591,560,27.4,58.7,12.2
574,560,27.4,58.7,12.2
574,560,27.4,58.9,12.2
597,564,27.4,58.9,12.2
574,590,27.3,58.8,12.2
567,567,27.3,58.8,12.2
567,560,27.4,58.8,12.2
567,560,27.4,58.8,12.2
594,560,27.4,58.8,12.2
600,558,27.4,58.8,12.2
574,585,27.4,58.8,12.2
594,567,27.4,58.8,12.2
567,567,27.3,58.7,12.2
567,564,27.3,58.7,12.2
568,564,27.3,58.8,12.2
568,560,27.3,58.8,12.2
568,561,27.3,58.6,12.2
600,560,27.3,58.6,12.2
574,561,27.4,58.8,12.2
574,564,27.4,58.8,12.2
574,564,27.5,58.6,12.2
568,566,27.5,58.6,12.2
568,561,27.3,58.7,12.2
568,585,27.3,58.7,12.2
567,557,27.4,58.7,12.2
597,560,27.4,58.7,12.2
597,584,27.4,58.5,12.2
574,561,27.4,58.5,12.2
574,557,27.3,58.7,12.2
600,584,27.3,58.7,12.2
574,566,27.3,58.7,12.2
573,591,27.3,58.7,12.2
574,591,27.3,58.8,12.2
591,567,27.3,58.8,12.2
591,564,27.4,58.6,12.2
567,561,27.4,58.6,12.2
568,557,27.3,58.6,12.2
594,584,27.3,58.6,12.2
592,561,27.3,58.9,12.2
600,558,27.3,58.9,12.2
574,558,27.3,58.9,12.2
597,591,27.3,58.9,12.2
574,567,27.3,59,12.2
567,563,27.3,59,12.2
567,591,27.3,58.6,12.2
568,561,27.3,58.6,12.2
568,561,27.3,58.8,12.2
597,561,27.3,58.8,12.2
574,561,27.3,58.7,12.2
574,561,27.3,58.7,12.2
574,567,27.3,59.1,12.2
600,590,27.3,59.1,12.2
574,564,27.4,59,12.2
594,591,27.4,59,12.2
567,567,27.3,58.8,12.2
571,558,27.3,58.8,12.2
568,584,27.3,58.9,12.2
600,561,27.3,58.9,12.2
