duration1,duration2,temperature,humidity,speedlevel
567,590,27.7,64.3,6.05
567,560,27.7,64.3,6.05
591,557,27.8,64.3,6.05
573,560,27.8,64.3,6.05
573,558,27.8,64.5,6.05
573,566,27.8,64.5,6.05
591,563,27.7,63.9,6.05
573,590,27.7,63.9,6.05
567,564,27.8,64.2,6.05
567,563,27.8,64.2,6.05
567,557,27.8,63.9,6.05
567,560,27.8,63.9,6.05
590,560,27.7,64.3,6.05
597,560,27.7,64.3,6.05
573,557,27.7,64.1,6.05
573,567,27.7,64.1,6.05
590,564,27.7,64.3,6.05
567,566,27.7,64.3,6.05
591,563,27.7,64.6,6.05
567,560,27.7,64.6,6.05
591,557,27.8,64.2,6.05
573,560,27.8,64.2,6.05
573,557,27.8,64.2,6.05
573,567,27.8,64.2,6.05
570,563,27.7,64.4,6.05
566,567,27.7,64.4,6.05
590,563,27.8,64.4,6.05
566,557,27.8,64.4,6.05
567,557,27.7,64.3,6.05
566,557,27.7,64.3,6.05
567,557,27.7,64.2,6.05
573,557,27.7,64.2,6.05
573,560,27.8,64.4,6.05
572,564,27.8,64.4,6.05
573,564,27.7,64.4,6.05
567,564,27.7,64.4,6.05
567,563,27.8,64.1,6.05
567,557,27.8,64.1,6.05
567,560,27.7,64.5,6.05
573,557,27.7,64.5,6.05
574,557,27.8,64.3,6.05
573,561,27.8,64.3,6.05
573,566,27.7,64.3,6.05
597,590,27.7,64.3,6.05
567,567,27.8,64.1,6.05
567,567,27.8,64.1,6.05
567,563,27.8,64.3,6.05
567,557,27.8,64.3,6.05
567,557,27.7,64.5,6.05
567,557,27.7,64.5,6.05
573,584,27.7,64.3,6.05
573,560,27.7,64.3,6.05
573,560,27.7,64.6,6.05
573,563,27.7,64.6,6.05
597,590,27.8,64.3,6.05
567,564,27.8,64.3,6.05
590,590,27.7,64.4,6.05
590,564,27.7,64.4,6.05
564,584,27.7,64.2,6.05
566,560,27.7,64.2,6.05
591,584,27.7,64.3,6.05
567,557,27.7,64.3,6.05
573,584,27.7,64.5,6.05
573,561,27.7,64.5,6.05
597,560,27.6,64.6,6.05
573,567,27.6,64.6,6.05
573,564,27.7,64.4,6.05
567,563,27.7,64.4,6.05
567,564,27.7,64.2,6.05
590,557,27.7,64.2,6.05
567,557,27.8,64.5,6.05
