duration1,duration2,temperature,humidity,speedlevel
564,566,27.3,59.7,0
564,560,27.3,59.7,0
564,561,27.3,59.7,0
570,560,27.3,59.7,0
571,567,27.4,59.7,0
564,567,27.4,59.7,0
564,567,27.4,59.8,0
564,560,27.4,59.8,0
565,560,27.3,59.5,0
564,560,27.3,59.5,0
571,560,27.3,59.6,0
570,567,27.3,59.6,0
565,567,27.4,59.7,0
564,566,27.4,59.7,0
564,561,27.3,59.6,0
571,560,27.3,59.6,0
571,560,27.4,59.3,0
570,566,27.4,59.3,0
564,567,27.4,59.7,0
564,567,27.4,59.7,0
564,561,27.4,59.7,0
564,560,27.4,59.7,0
565,560,27.4,59.5,0
570,560,27.4,59.5,0
571,561,27.4,59.5,0
564,566,27.4,59.5,0
565,566,27.4,59.5,0
564,562,27.4,59.5,0
564,560,27.4,59.4,0
565,561,27.4,59.4,0
564,560,27.3,59.3,0
570,560,27.3,59.3,0
571,560,27.4,59.7,0
570,567,27.4,59.7,0
565,566,27.3,59.6,0
564,567,27.3,59.6,0
565,560,27.4,59.6,0
564,561,27.4,59.6,0
570,561,27.4,59.5,0
570,560,27.4,59.5,0
571,566,27.4,60,0
571,567,27.4,60,0
565,567,27.3,59.7,0
564,566,27.3,59.7,0
565,567,27.4,59.8,0
565,560,27.4,59.8,0
564,561,27.3,59.7,0
570,560,27.3,59.7,0
570,560,27.3,59.9,0
570,560,27.3,59.9,0
570,561,27.3,59.6,0
569,567,27.3,59.6,0
565,567,27.3,59.5,0
564,567,27.3,59.5,0
565,567,27.3,59.7,0
564,560,27.3,59.7,0
564,561,27.3,59.7,0
571,560,27.3,59.7,0
571,560,27.4,59.4,0
570,560,27.4,59.4,0
571,566,27.4,59.6,0
564,567,27.4,59.6,0
564,567,27.4,59.6,0
565,561,27.4,59.6,0
564,560,27.4,59.2,0
570,560,27.4,59.2,0
571,560,27.3,59.3,0
570,567,27.3,59.3,0
571,567,27.3,59.3,0
564,566,27.3,59.3,0
565,567,27.3,59.5,0
564,567,27.3,59.5,0
564,560,27.4,59.3,0
565,560,27.4,59.3,0
564,560,27.3,59.4,0
571,561,27.3,59.4,0
570,560,27.3,59.2,0
564,567,27.3,59.2,0
565,567,27.4,59.1,0
564,560,27.4,59.1,0
564,560,27.3,59.2,0
570,561,27.3,59.2,0
570,560,27.4,59.1,0
570,567,27.4,59.1,0
571,566,27.3,59,0
565,567,27.3,59,0
565,566,27.3,59.1,0
564,567,27.3,59.1,0
564,561,27.3,58.9,0
564,560,27.3,58.9,0
564,561,27.3,58.9,0
570,560,27.3,58.9,0
571,561,27.4,59.2,0
564,566,27.4,59.2,0
564,566,27.3,58.8,0
564,560,27.3,58.8,0
564,561,27.3,59,0
570,560,27.3,59,0
571,561,27.2,58.7,0
570,567,27.2,58.7,0
570,567,27.3,58.6,0
564,566,27.3,58.6,0
565,567,27.3,58.4,0
564,560,27.3,58.4,0
564,561,27.3,58.7,0
564,560,27.3,58.7,0
564,560,27.3,58.7,0
570,560,27.3,58.7,0
571,561,27.4,58.9,0
571,567,27.4,58.9,0
571,567,27.3,58.9,0
564,567,27.3,58.9,0
564,567,27.4,58.6,0
564,567,27.4,58.6,0
564,560,27.3,59,0
