duration1,duration2,temperature,Humidity,Direction,Velocity
573,563,26.9,64.8,0,19.1
596,561,26.9,64.8,0,19.1
579,557,26.9,64.6,0,19.1
602,558,26.9,64.6,0,19.1
576,564,27,64.8,0,19.1
569,563,27,64.8,0,19.1
570,564,27,64.7,0,19.1
572,558,27,64.7,0,19.1
596,557,27,64.5,0,19.1
602,558,27,64.5,0,19.1
576,561,26.9,64.8,0,19.1
570,563,26.9,64.8,0,19.1
596,590,27,64.7,0,19.1
573,564,27,64.7,0,19.1
570,558,26.9,64.8,0,19.1
575,557,26.9,64.8,0,19.1
576,584,26.9,64.9,0,19.1
602,566,26.9,64.9,0,19.1
596,566,26.9,64.7,0,19.1
570,564,26.9,64.7,0,19.1
596,566,26.9,64.8,0,19.1
596,584,26.9,64.8,0,19.1
570,558,26.9,64.7,0,19.1
596,560,26.9,64.7,0,19.1
593,558,27,65,0,19.1
576,558,27,65,0,19.1
603,560,27,64.6,0,19.1
575,557,27,64.6,0,19.1
576,558,26.9,64.7,0,19.1
575,566,26.9,64.7,0,19.1
576,563,26.9,64.9,0,19.1
596,563,26.9,64.9,0,19.1
569,564,26.9,64.4,0,19.1
572,560,26.9,64.4,0,19.1
570,558,27,65,0,19.1
596,557,27,65,0,19.1
570,558,26.9,64.8,0,19.1
602,560,26.9,64.8,0,19.1
576,558,26.9,64.5,0,19.1
602,563,26.9,64.5,0,19.1
602,567,27,64.8,0,19.1
570,563,27,64.8,0,19.1
570,591,27,64.9,0,19.1
569,558,27,64.9,0,19.1
570,560,27,64.8,0,19.1
578,557,27,64.8,0,19.1
579,557,26.9,64.7,0,19.1
579,558,26.9,64.7,0,19.1
576,558,27,64.8,0,19.1
578,564,27,64.8,0,19.1
596,566,27,64.7,0,19.1
569,564,27,64.7,0,19.1
573,566,27,64.8,0,19.1
572,557,27,64.8,0,19.1
597,557,27,65,0,19.1
572,557,27,65,0,19.1
603,558,27,64.9,0,19.1
579,557,27,64.9,0,19.1
602,557,27,64.9,0,19.1
602,564,27,64.9,0,19.1
576,567,26.9,64.9,0,19.1
596,567,26.9,64.9,0,19.1
596,564,27,65.1,0,19.1
572,567,27,65.1,0,19.1
596,564,26.9,65.1,0,19.1
596,564,26.9,65.1,0,19.1
597,558,26.9,64.7,0,19.1
596,558,26.9,64.7,0,19.1
597,557,27,64.9,0,19.1
